model1,model2,chi2,p_value
Multinomial Naive Bayes_unigrams,Multinomial Naive Bayes_bigrams,8.51063829787234,0.0035307619178311742
Multinomial Naive Bayes_unigrams,Multinomial Naive Bayes_both,0.045454545454545456,0.8311704095417624
Multinomial Naive Bayes_unigrams,Logistic Regression_unigrams,0.9411764705882353,0.3319754670827342
Multinomial Naive Bayes_unigrams,Logistic Regression_bigrams,12.8,0.000346619351134667
Multinomial Naive Bayes_unigrams,Logistic Regression_both,2.7222222222222223,0.09896015401940522
Multinomial Naive Bayes_unigrams,Classification Trees_unigrams,13.795918367346939,0.00020377845956151062
Multinomial Naive Bayes_unigrams,Classification Trees_bigrams,22.535211267605632,2.0632678310526894e-06
Multinomial Naive Bayes_unigrams,Classification Trees_both,15.789473684210526,7.079528641296008e-05
Multinomial Naive Bayes_unigrams,Random Forests_unigrams,0.038461538461538464,0.8445192674729399
Multinomial Naive Bayes_unigrams,Random Forests_bigrams,17.647058823529413,2.6592618550786612e-05
Multinomial Naive Bayes_unigrams,Random Forests_both,0.48484848484848486,0.48623432138829725
Multinomial Naive Bayes_bigrams,Multinomial Naive Bayes_both,10.81081081081081,0.0010090909880960443
Multinomial Naive Bayes_bigrams,Logistic Regression_unigrams,13.58695652173913,0.00022776260245036984
Multinomial Naive Bayes_bigrams,Logistic Regression_bigrams,0.375,0.5402913746074199
Multinomial Naive Bayes_bigrams,Logistic Regression_both,18.232558139534884,1.955080544629483e-05
Multinomial Naive Bayes_bigrams,Classification Trees_unigrams,0.36764705882352944,0.544289624429402
Multinomial Naive Bayes_bigrams,Classification Trees_bigrams,6.446428571428571,0.011117560716106999
Multinomial Naive Bayes_bigrams,Classification Trees_both,1.396551724137931,0.23730177864999652
Multinomial Naive Bayes_bigrams,Random Forests_unigrams,9.30232558139535,0.0022886315392519696
Multinomial Naive Bayes_bigrams,Random Forests_bigrams,1.9285714285714286,0.16491482255329737
Multinomial Naive Bayes_bigrams,Random Forests_both,4.5,0.033894853524689295
Multinomial Naive Bayes_both,Logistic Regression_unigrams,0.6956521739130435,0.4042484947394712
Multinomial Naive Bayes_both,Logistic Regression_bigrams,14.76923076923077,0.0001215019756430812
