mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,features_count
0.0009857654571533204,2.654600040221109e-05,0.0006092071533203125,0.0004977159331559379,0.1,{'alpha': 0.1},0.59375,0.6015625,0.5546875,0.625,0.5703125,0.5890625,0.024506854908372067,1,10
0.001077890396118164,0.00016260210020329493,0.00019927024841308593,0.00039854049682617185,0.15,{'alpha': 0.15},0.59375,0.6015625,0.5546875,0.625,0.5703125,0.5890625,0.024506854908372067,1,10
0.0007982730865478515,0.00039924608528919445,0.0005998611450195312,0.0004897999475151723,0.25,{'alpha': 0.25},0.59375,0.6015625,0.546875,0.625,0.5703125,0.5875,0.026791294061691014,3,10
0.0007974624633789063,0.00039875868794238647,0.0004008769989013672,0.0004909741382391449,0.5,{'alpha': 0.5},0.59375,0.609375,0.546875,0.609375,0.5703125,0.5859375,0.024206145913796356,6,10
0.0008031845092773438,0.0004017795883585275,0.0005904674530029297,0.00048235119324499726,0.75,{'alpha': 0.75},0.59375,0.609375,0.546875,0.609375,0.578125,0.5875,0.023385358667337132,3,10
0.0010605335235595703,0.00040984117409166847,0.0004981517791748047,0.00044505142426319767,0.85,{'alpha': 0.85},0.59375,0.609375,0.546875,0.609375,0.578125,0.5875,0.023385358667337132,3,10
0.0009995460510253905,1.088045853152675e-05,0.0003966808319091797,0.0004859626751927057,1.0,{'alpha': 1.0},0.5625,0.609375,0.546875,0.609375,0.578125,0.58125,0.024999999999999998,7,10
0.001242351531982422,0.00040048455194798395,0.0003996372222900391,0.0004897072205894794,0.1,{'alpha': 0.1},0.5234375,0.5859375,0.5859375,0.5625,0.5546875,0.5625,0.023175620272173948,7,15
0.0005954742431640625,0.0004863998602503226,0.0005984306335449219,0.0004886167135700321,0.15,{'alpha': 0.15},0.5234375,0.59375,0.5859375,0.5625,0.5546875,0.5640625,0.024902152266420667,5,15
0.0009988784790039063,1.1051517701252011e-05,0.0005970478057861328,0.000487491837530479,0.25,{'alpha': 0.25},0.5234375,0.59375,0.5859375,0.5625,0.5546875,0.5640625,0.024902152266420667,5,15
0.0009892940521240234,1.612358414108891e-05,0.0004047870635986328,0.0004957866146800778,0.5,{'alpha': 0.5},0.5234375,0.6015625,0.5859375,0.5625,0.5625,0.5671875,0.02642427269576213,1,15
